City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
189,Nara,JP,34.6851,135.8049,49.96,37,98,6.71,overcast clouds
190,Boguchany,RU,58.3814,97.4531,4.62,92,99,3.24,overcast clouds
191,Lebu,CL,-37.6167,-73.65,57.0,93,5,4.52,clear sky
192,East London,ZA,-33.0153,27.9116,70.29,68,8,8.86,clear sky
193,Linares,CL,-35.85,-71.6,56.44,83,0,2.73,clear sky
194,Nhulunbuy,AU,-12.2333,136.7667,79.41,94,75,5.75,light rain
195,Bellview,US,30.4616,-87.315,43.81,54,0,3.0,clear sky
196,Pacasmayo,PE,-7.4006,-79.5714,70.25,82,100,8.43,overcast clouds
197,Saint-Pierre,RE,-21.3393,55.4781,85.64,70,0,11.5,clear sky
198,Acapulco,MX,16.8634,-99.8901,75.02,88,40,2.3,scattered clouds
199,Asau,RO,46.4333,26.4,32.92,91,65,4.56,broken clouds
200,Kloulklubed,PW,7.0419,134.2556,84.7,78,76,11.83,broken clouds
201,Lompoc,US,34.6391,-120.4579,61.12,64,0,4.61,clear sky
202,Hasaki,JP,35.7333,140.8333,48.6,58,100,7.25,overcast clouds
203,Gizo,SB,-8.103,156.8419,84.65,69,69,8.79,broken clouds
204,Sassandra,CI,4.95,-6.0833,75.79,90,40,2.48,scattered clouds
205,Liverpool,GB,53.4106,-2.9779,53.76,80,75,7.0,broken clouds
206,Falam,MM,22.9167,93.6833,63.19,29,1,3.76,clear sky
207,Aitape,PG,-3.1374,142.3475,82.11,79,90,6.17,overcast clouds
208,Klaksvik,FO,62.2266,-6.589,38.32,91,100,31.76,overcast clouds
209,Fortuna,US,40.5982,-124.1573,44.1,100,0,10.36,clear sky
210,Manado,ID,1.487,124.8455,86.77,70,40,6.91,scattered clouds
211,Kapit,MY,2.0167,112.9333,91.31,54,77,1.05,broken clouds
212,Ulaanbaatar,MN,47.9077,106.8832,3.33,72,75,4.47,broken clouds
213,Sechura,PE,-5.5569,-80.8222,72.03,76,100,8.5,overcast clouds
214,Ribeira Grande,PT,38.5167,-28.7,58.41,62,32,11.81,scattered clouds
215,Kolosovka,RU,56.4678,73.611,8.17,95,97,4.23,overcast clouds
216,Palekh,RU,56.8028,41.8572,16.2,95,100,6.42,overcast clouds
217,Manggar,ID,-2.8833,108.2667,85.41,63,100,8.55,overcast clouds
218,Horodyshche,UA,49.2849,31.4451,29.48,93,100,16.89,overcast clouds
219,Humaita,BR,-7.5061,-63.0208,72.37,99,100,2.8,moderate rain
220,Carballo,ES,43.213,-8.691,40.68,71,2,3.89,clear sky
221,Guaruja,BR,-23.9931,-46.2564,77.9,26,100,12.41,overcast clouds
222,Lata,PT,40.1629,-8.3327,43.72,55,0,5.99,clear sky
223,Melfort,CA,52.8667,-104.6177,7.56,88,93,8.25,overcast clouds
224,Asbury Park,US,40.2204,-74.0121,31.21,94,100,7.0,snow
225,Codrington,AU,-38.2667,141.9667,66.85,68,100,15.48,overcast clouds
226,Ilulissat,GL,69.2167,-51.1,21.22,53,99,20.71,overcast clouds
227,Jequitinhonha,BR,-16.4339,-41.0033,69.73,99,99,2.48,overcast clouds
228,Edson,CA,53.5835,-116.4356,27.68,86,95,4.03,overcast clouds
229,Pangai,TO,-19.8,-174.35,83.16,76,98,15.55,overcast clouds
230,Broken Hill,AU,-31.95,141.4333,89.73,39,5,7.11,clear sky
231,Pilar,BR,-9.5972,-35.9567,75.13,82,100,5.06,light rain
232,Aldan,RU,58.6031,125.3894,-4.04,95,100,8.39,light snow
233,Vila Franca Do Campo,PT,37.7167,-25.4333,57.61,85,32,9.71,scattered clouds
234,Comodoro Rivadavia,AR,-45.8667,-67.5,57.06,88,20,6.91,few clouds
235,Chuy,UY,-33.6971,-53.4616,63.03,81,1,3.65,clear sky
236,Lima,PE,-12.0432,-77.0282,67.89,79,0,10.36,clear sky
237,Tabas,IR,33.5959,56.9244,48.88,27,0,2.39,clear sky
238,Hambantota,LK,6.1241,81.1185,86.34,70,20,5.75,few clouds
239,Lumphat,KH,13.4878,106.9816,98.22,27,6,1.74,clear sky
240,Bara,NG,10.3744,10.7288,61.02,31,98,8.99,overcast clouds
241,Bulgan,MN,48.8125,103.5347,5.86,76,100,2.55,overcast clouds
242,Ust-Kuyga,RU,70.0167,135.6,-30.17,100,92,2.93,overcast clouds
243,Santiago Del Estero,AR,-27.7951,-64.2615,67.59,60,0,3.27,clear sky
244,Neuquen,AR,-38.9516,-68.0591,78.69,47,0,9.22,clear sky
245,Cacequi,BR,-29.8836,-54.825,63.07,79,0,10.71,clear sky
246,Tuy Hoa,VN,13.0833,109.3,80.38,71,59,8.93,broken clouds
247,Hualmay,PE,-11.0964,-77.6139,69.08,86,100,6.89,overcast clouds
248,Sitka,US,57.0531,-135.33,42.69,81,100,12.66,light rain
249,Santa Maria,BR,-29.6842,-53.8069,60.21,88,0,6.13,clear sky
250,Belmonte,BR,-15.8631,-38.8828,72.1,87,42,4.41,scattered clouds
251,Puerto Escondido,MX,15.85,-97.0667,75.6,84,12,5.14,few clouds
252,Kismayo,SO,-0.3582,42.5454,79.39,73,96,17.45,overcast clouds
253,Fallon,US,39.4735,-118.7774,24.67,58,40,4.61,scattered clouds
254,Mayumba,GA,-3.432,10.6554,75.42,89,84,2.75,broken clouds
255,Repalle,IN,16.0167,80.85,80.82,55,29,7.96,scattered clouds
256,Tongling,CN,30.95,117.7833,37.62,91,100,5.41,light rain
257,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.07,90,68,15.61,broken clouds
258,Pevek,RU,69.7008,170.3133,-11.92,100,100,0.94,overcast clouds
259,Collie,AU,-33.3667,116.15,95.83,25,70,10.96,broken clouds
260,Seoul,KR,37.5683,126.9778,36.79,22,8,10.51,clear sky
261,Mapiripan,CO,2.8892,-72.1256,73.53,47,92,4.63,overcast clouds
262,Maceio,BR,-9.6658,-35.7353,76.44,78,40,9.22,scattered clouds
263,Umm Lajj,SA,25.0213,37.2685,62.6,42,0,8.93,clear sky
264,Rawson,AR,-43.3002,-65.1023,66.81,83,77,9.51,broken clouds
265,Riohacha,CO,11.5444,-72.9072,71.87,90,57,6.82,broken clouds
266,Cartagena,CO,10.3997,-75.5144,76.62,83,20,6.91,few clouds
267,Severo-Kurilsk,RU,50.6789,156.125,22.87,71,100,22.68,light snow
268,Torbay,CA,47.6666,-52.7314,30.58,88,66,1.99,broken clouds
269,San Patricio,US,28.017,-97.5169,49.82,51,0,4.92,clear sky
270,Pudozh,RU,61.8099,36.5345,12.7,98,100,1.1,overcast clouds
271,Katherine,AU,-14.4667,132.2667,84.52,65,98,21.85,light rain
272,Vila Velha,BR,-20.3297,-40.2925,76.95,89,0,10.0,clear sky
273,Yashkul,RU,46.1711,45.3435,31.71,75,74,10.76,snow
274,Lagos,NG,6.5833,3.75,68.31,90,19,4.25,few clouds
275,Yellandu,IN,17.6,80.3333,81.19,19,30,3.15,scattered clouds
276,Ancud,CL,-41.8697,-73.8203,49.42,81,0,2.82,clear sky
277,Tigre,AR,-34.426,-58.5796,71.6,89,0,4.61,clear sky
278,Olafsvik,IS,64.8945,-23.7142,26.94,54,17,11.68,few clouds
279,Nushki,PK,29.5542,66.0215,60.94,32,0,4.23,clear sky
280,Airai,TL,-8.9266,125.4092,72.77,61,100,5.55,overcast clouds
281,Richards Bay,ZA,-28.783,32.0377,75.63,75,75,13.11,broken clouds
282,Clyde River,CA,70.4692,-68.5914,-7.37,77,100,25.32,light snow
283,Hanmer Springs,NZ,-42.5167,172.8167,77.99,28,74,6.02,broken clouds
284,Touros,BR,-5.1989,-35.4608,70.7,84,100,6.35,overcast clouds
285,Meulaboh,ID,4.1363,96.1285,86.45,67,77,6.6,broken clouds
286,Mackenzie,CA,55.2999,-123.1698,26.35,97,100,3.58,overcast clouds
287,Creel,MX,27.75,-107.6333,30.9,70,10,5.82,clear sky
288,Ambunti,PG,-4.2365,142.8448,87.22,58,90,2.91,overcast clouds
