City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
144,Jamestown,US,2022-01-26 02:13:56,42.097,-79.2353,16.92,47,100,4.61
145,Lompoc,US,2022-01-26 02:15:00,34.6391,-120.4579,57.78,83,100,13.0
146,Kununurra,AU,2022-01-26 02:15:00,-15.7667,128.7333,82.38,83,100,13.8
147,Kavieng,PG,2022-01-26 02:15:01,-2.5744,150.7967,83.93,75,95,8.23
148,Provideniya,RU,2022-01-26 02:15:01,64.3833,-173.3,-6.65,59,20,4.47
149,Bambanglipuro,ID,2022-01-26 02:15:01,-7.95,110.2833,83.5,74,100,6.31
150,Nikolskoye,RU,2022-01-26 02:15:01,59.7035,30.7861,15.69,100,78,2.64
151,Swidwin,PL,2022-01-26 02:15:02,53.7746,15.7767,41.94,100,91,8.79
152,Katsuura,JP,2022-01-26 02:13:54,35.1333,140.3,50.18,91,100,15.08
153,Payyannur,IN,2022-01-26 02:15:02,12.1,75.2,68.38,85,11,5.93
154,Warren,US,2022-01-26 02:13:54,39.4334,-84.1666,22.93,76,0,3.0
155,Nizwa,OM,2022-01-26 02:15:02,22.9333,57.5333,60.22,63,0,1.68
156,Sal Rei,CV,2022-01-26 02:15:03,16.1833,-22.9167,72.16,78,4,19.8
157,Clyde River,CA,2022-01-26 02:15:03,70.4692,-68.5914,-7.37,84,100,20.71
158,Kortkeros,RU,2022-01-26 02:11:19,61.8106,51.5806,12.2,93,100,8.3
159,Vanino,RU,2022-01-26 02:15:03,49.0869,140.2543,13.08,69,97,3.2
160,Chokwe,MZ,2022-01-26 02:15:04,-24.5333,32.9833,73.13,93,100,7.11
161,Newport,GB,2022-01-26 02:15:04,51.5877,-2.9984,41.77,86,37,3.74
162,Pochutla,MX,2022-01-26 02:15:04,15.7432,-96.4661,79.65,80,0,3.47
163,Dingle,PH,2022-01-26 02:15:05,10.9995,122.6711,81.63,81,99,13.6
164,Rio Grande,BR,2022-01-26 02:15:05,-32.035,-52.0986,77.95,89,67,10.04
165,Baghmara,IN,2022-01-26 02:15:05,23.795,86.2085,61.79,76,68,3.56
166,Khatanga,RU,2022-01-26 02:15:05,71.9667,102.5,-4.04,86,58,12.97
167,Ixtapa,MX,2022-01-26 02:15:06,20.7,-105.2,72.63,78,40,6.91
168,Kamaishi,JP,2022-01-26 02:15:06,39.2667,141.8833,32.95,57,100,1.59
169,Zhaozhou,CN,2022-01-26 02:15:06,45.6833,125.3167,3.97,95,99,5.1
170,Port Hardy,CA,2022-01-26 02:15:06,50.6996,-127.4199,39.76,100,75,4.61
171,Luderitz,NA,2022-01-26 02:15:07,-26.6481,15.1594,73.0,62,6,21.21
172,Gavrilovka Vtoraya,RU,2022-01-26 02:15:07,52.877,42.7663,5.09,98,88,6.22
173,Abapo,BO,2022-01-26 02:15:07,-18.8333,-63.4667,71.37,65,100,3.0
174,Dikson,RU,2022-01-26 02:15:08,73.5069,80.5464,11.19,91,100,30.71
175,Hasaki,JP,2022-01-26 02:15:08,35.7333,140.8333,41.4,85,100,19.6
176,Batemans Bay,AU,2022-01-26 02:15:08,-35.7167,150.1833,85.19,69,100,6.55
177,Methoni,GR,2022-01-26 02:15:08,36.8197,21.7049,37.22,45,1,7.07
178,Kahului,US,2022-01-26 02:12:32,20.8947,-156.47,84.22,57,20,13.8
179,Omsukchan,RU,2022-01-26 02:16:09,62.5333,155.8,-25.44,98,98,3.27
180,Kretinga,LT,2022-01-26 02:16:09,55.8758,21.2508,24.55,100,0,2.3
181,Xining,CN,2022-01-26 02:16:10,36.6167,101.7667,20.84,72,100,1.59
182,Yarada,IN,2022-01-26 02:16:10,17.65,83.2667,71.92,94,20,2.3
183,Biak,ID,2022-01-26 02:16:10,-0.9131,122.8766,83.23,71,89,5.06
184,Banda Aceh,ID,2022-01-26 02:16:10,5.5577,95.3222,80.91,75,52,7.74
185,Guerrero Negro,MX,2022-01-26 02:16:11,27.9769,-114.0611,61.5,65,100,9.01
186,Nianzishan,CN,2022-01-26 02:16:11,47.5167,122.8833,8.15,66,50,5.55
187,Vao,NC,2022-01-26 02:16:11,-22.6667,167.4833,77.49,71,82,9.73
188,Thompson,CA,2022-01-26 02:16:12,55.7435,-97.8558,-5.64,71,100,11.5
189,Katangli,RU,2022-01-26 02:16:12,51.7102,143.2326,6.53,87,95,7.87
190,Ostersund,SE,2022-01-26 02:16:12,63.1792,14.6357,29.61,80,100,11.5
191,Tuatapere,NZ,2022-01-26 02:16:13,-46.1333,167.6833,56.82,87,88,12.06
192,Souillac,MU,2022-01-26 02:16:13,-20.5167,57.5167,75.58,73,40,5.75
193,Puerto Carreno,CO,2022-01-26 02:16:13,6.189,-67.4859,87.22,42,29,13.4
194,Jagdalpur,IN,2022-01-26 02:16:14,19.0667,82.0333,56.95,63,0,3.36
195,Lebedinyy,RU,2022-01-26 02:16:14,58.5167,125.5167,-8.55,96,100,3.83
196,Pisco,PE,2022-01-26 02:16:14,-13.7,-76.2167,68.05,83,0,14.97
197,Sao Filipe,CV,2022-01-26 02:16:14,14.8961,-24.4956,75.83,60,2,10.8
198,Hami,CN,2022-01-26 02:16:15,42.8,93.45,21.78,49,6,3.94
199,Sturgeon Bay,US,2022-01-26 02:16:15,44.8342,-87.377,7.16,56,100,10.36
200,Guaruja,BR,2022-01-26 02:16:15,-23.9931,-46.2564,83.16,26,34,2.59
201,Gobabis,NA,2022-01-26 02:16:16,-22.45,18.9667,70.09,51,81,8.25
202,Manzanillo,CU,2022-01-26 02:16:16,20.3433,-77.1167,72.84,73,0,6.22
203,Sao Jose Do Belmonte,BR,2022-01-26 02:16:16,-7.8614,-38.7597,73.6,63,86,1.5
204,Atagay,RU,2022-01-26 02:16:16,55.1033,99.3875,4.8,95,98,2.57
205,Quelimane,MZ,2022-01-26 02:16:17,-17.8786,36.8883,74.97,94,100,9.66
